,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,Category,positive,negative,neutral,,,,,,
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23/8/20 12:25,photo,studying,positive,30,,animals,1050,618,229,,,,pos,neg,neutral
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11/4/2021 17:35,photo,studying,positive,70,,science,1015,547,234,,,SUM,13807,7695,3071
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,4/8/2020 5:05,photo,studying,positive,65,,healthy eating,985,520,212,,,,,,
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,1/11/2020 1:16,photo,studying,positive,30,,technology,974,510,214,,,,,,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/2/21 5:09,photo,studying,positive,75,,food,943,544,212,,,,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22/5/21 19:44,photo,studying,positive,30,,culture,943,523,210,,,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31/1/21 16:03,photo,studying,positive,45,,cooking,932,550,182,,,,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13/6/21 16:46,photo,studying,positive,50,,travel,918,533,196,,,,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11/4/2021 14:29,photo,studying,positive,60,,soccer,817,440,200,,,,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/8/2020 23:58,photo,studying,positive,70,,education,815,430,188,,,,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28/8/20 3:57,photo,studying,positive,75,,fitness,786,441,168,,,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25/8/20 8:21,photo,studying,positive,45,,studying,768,425,170,,,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/3/2021 12:40,photo,studying,positive,30,,dogs,744,409,185,,,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/1/21 11:03,photo,studying,positive,75,,tennis,716,450,162,,,,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021 3:43,photo,studying,positive,75,,public speaking,712,363,142,,,,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,4/2/2021 3:06,photo,studying,positive,30,,veganism,689,392,167,,,,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13/2/21 7:54,photo,studying,positive,70,,,,,,,,,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14/7/20 5:28,photo,studying,positive,30,,,,,,,,,,,
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13/9/20 0:11,photo,healthy eating,positive,45,,,,,,,,,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15/3/21 12:17,photo,healthy eating,positive,50,,,,,,,,,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021 16:26,photo,healthy eating,positive,65,,,,,,,,,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31/8/20 0:21,photo,healthy eating,positive,65,,,,,,,,,,,
